#DRAM
J20,SDQS1B,DRAM,I/O,Z,-,-
AA15,SDQS2,DRAM,I/O,Z,-,-
Y15,SDQS2B,DRAM,I/O,Z,-,-
AA9,SDQS3,DRAM,I/O,Z,-,-
Y9,SDQS3B,DRAM,I/O,Z,-,-
W11,SODT0,DRAM,O,Z,-,-
V11,SODT1,DRAM,O,Z,-,-
V13,SRAS,DRAM,O,Z,-,-
U16,SRST,DRAM,O,Z,-,-
T16,SVREF,DRAM,P,Z,-,-
W13,SWE,DRAM,O,Z,-,-
V10,SZQ,DRAM,A,Z,-,-
L16,M16,N16,P16,P17,R16,T12,T13,T14,T15,U11,VCC-DRAM,POWER,P,-,-,-

#GPIO A
D11,PA0,GPIO,I/O,Z,NO PULL,20
D5,PA1,GPIO,I/O,Z,NO PULL,20
D6,PA2,GPIO,I/O,Z,NO PULL,20
E13,PA3,GPIO,I/O,Z,NO PULL,20
F5,PA4,GPIO,I/O,Z,NO PULL,20
H6,PA5,GPIO,I/O,Z,NO PULL,20
E14,PA6,GPIO,I/O,Z,NO PULL,20
D8,PA7,GPIO,I/O,Z,NO PULL,20
F13,PA8,GPIO,I/O,Z,NO PULL,20
D13,PA9,GPIO,I/O,Z,NO PULL,20
E11,PA10,GPIO,I/O,Z,NO PULL,20
F11,PA11,GPIO,I/O,Z,NO PULL,20
C13,PA12,GPIO,I/O,Z,NO_PULL,20
E15,PA13,GPIO,I/O,Z,NO_PULL,20
G12,PA14,GPIO,I/O,Z,NO_PULL,20
F14,PA15,GPIO,I/O,Z,NO_PULL,20
D15,PA16,GPIO,I/O,Z,NO_PULL,20
C14,PA17,GPIO,I/O,Z,NO_PULL,20
B13,PA18,GPIO,I/O,Z,NO_PULL,20
B14,PA19,GPIO,I/O,Z,NO_PULL,20
A13,PA20,GPIO,I/O,Z,NO_PULL,20
A14,PA21,GPIO,I/O,Z,NO_PULL,20
G13,G14,G15,H13,H14,J14,VCC_IO,POWER,P,-,-,-

#GPIO C
C15,PC0,GPIO,I/O,Z,NO PULL,20
C16,PC1,GPIO,I/O,Z,NO PULL,20
B16,PC2,GPIO,I/O,Z,NO PULL,20
B15,PC3,GPIO,I/O,Z,Pull-Up,20
F16,PC4,GPIO,I/O,Z,Pull-Up,20
A17,PC5,GPIO,I/O,Z,NO PULL,20
E16,PC6,GPIO,I/O,Z,Pull-Up,20
A16,PC7,GPIO,I/O,Z,Pull-Up,20
B18,PC8,GPIO,I/O,Z,NO PULL,20
C17,PC9,GPIO,I/O,Z,NO PULL,20
D17,PC10,GPIO,I/O,Z,NO PULL,20
C18,PC11,GPIO,I/O,Z,NO PULL,20
B17,PC12,GPIO,I/O,Z,NO PULL,20
B19,PC13,GPIO,I/O,Z,NO PULL,20
F17,PC14,GPIO,I/O,Z,NO PULL,20
C19,PC15,GPIO,I/O,Z,NO PULL,20
H16,PC16,GPIO,I/O,Z,NO PULL,20
#GPIO D
C21,PD0,GPIO,I/O,Z,NO PULL,20
H17,PD1,GPIO,I/O,Z,NO PULL,20
B20,PD2,GPIO,I/O,Z,NO PULL,20
H18,PD3,GPIO,I/O,Z,NO PULL,20
A20,PD4,GPIO,I/O,Z,NO PULL,20
F19,PD5,GPIO,I/O,Z,NO PULL,20
B21,PD6,GPIO,I/O,Z,NO PULL,20
E18,PD7,GPIO,I/O,Z,NO PULL,20
E20,PD8,GPIO,I/O,Z,NO PULL,20
F21,PD9,GPIO,I/O,Z,NO PULL,20
H19,PD10,GPIO,I/O,Z,NO PULL,20
F20,PD11,GPIO,I/O,Z,NO PULL,20
E19,PD12,GPIO,I/O,Z,NO PULL,20
K17,PD13,GPIO,I/O,Z,NO PULL,20
L17,PD14,GPIO,I/O,Z,NO PULL,20
K18,PD15,GPIO,I/O,Z,NO PULL,20
L18,PD16,GPIO,I/O,Z,NO PULL,20
L19,PD17,GPIO,I/O,Z,NO PULL,20
J15,VCC_PD,POWER,P,-,-,-
#GPIO E
B10,PE0,GPIO,I/O,Z,NO PULL,20
A10,PE1,GPIO,I/O,Z,NO PULL,20
B11,PE2,GPIO,I/O,Z,NO PULL,20
C10,PE3,GPIO,I/O,Z,NO PULL,20
C9,PE4,GPIO,I/O,Z,NO PULL,20
E10,PE5,GPIO,I/O,Z,NO PULL,20
D10,PE6,GPIO,I/O,Z,NO PULL,20
C8,PE7,GPIO,I/O,Z,NO PULL,20
C11,PE8,GPIO,I/O,Z,NO PULL,20
C12,PE9,GPIO,I/O,Z,NO PULL,20
E8,PE10,GPIO,I/O,Z,NO PULL,20
A11,PE11,GPIO,I/O,Z,NO PULL,20
B12,PE12,GPIO,I/O,Z,NO PULL,20
C7,PE13,GPIO,I/O,Z,NO PULL,20
C6,PE14,GPIO,I/O,Z,NO PULL,20
C5,PE15,GPIO,I/O,Z,NO PULL,20
#GPIO F
D19,PF0,GPIO,I/O,Z,NO PULL,20
A19,PF1,GPIO,I/O,Z,NO PULL,20
D20,PF2,GPIO,I/O,Z,NO PULL,20
F18,PF3,GPIO,I/O,Z,NO PULL,20
E21,PF4,GPIO,I/O,Z,NO PULL,20
C20,PF5,GPIO,I/O,Z,NO PULL,20
G18,PF6,GPIO,I/O,Z,NO PULL,20
#GPIO G
J3,PG0,GPIO,I/O,Z,NO PULL,20
L2,PG1,GPIO,I/O,Z,NO PULL,20
H4,PG2,GPIO,I/O,Z,NO PULL,20
F3,PG3,GPIO,I/O,Z,NO PULL,20
C2,PG4,GPIO,I/O,Z,NO PULL,20
C1,PG5,GPIO,I/O,Z,NO PULL,20
G4,PG6,GPIO,I/O,Z,NO PULL,20
D3,PG7,GPIO,I/O,Z,NO PULL,20
C3,PG8,GPIO,I/O,Z,NO PULL,20
E3,PG9,GPIO,I/O,Z,NO PULL,20
M3,PG10,GPIO,I/O,Z,NO PULL,20
D2,PG11,GPIO,I/O,Z,NO PULL,20
D1,PG12,GPIO,I/O,Z,NO PULL,20
B1,PG13,GPIO,I/O,Z,NO PULL,20
H7,VCC_PG,Power,P,-,-,-
#GPIO L
N1,PL0,GPIO,I/O,Z,Pull-Up,20
M1,PL1,GPIO,I/O,Z,Pull-Up,20
P2,PL2,GPIO,I/O,Z,NO PULL,20
R1,PL3,GPIO,I/O,Z,NO PULL,20
N2,PL4,GPIO,I/O,Z,NO PULL,20
R2,PL5,GPIO,I/O,Z,NO PULL,20
T4,PL6,GPIO,I/O,Z,NO PULL,20
T3,PL7,GPIO,I/O,Z,NO PULL,20
T2,PL8,GPIO,I/O,Z,NO PULL,20
M6,PL9,GPIO,I/O,Z,NO PULL,20
V2,PL10,GPIO,I/O,Z,NO PULL,20
U2,PL11,GPIO,I/O,Z,NO PULL,20
#System Control
W6,UBOOT,-,I,-,Pull-Up,-
T5,TEST,-,I,-,Pull-Down,-
AA6,NMI,-,I,-,NO PULL,-
V6,RESET,-,I,-,NO PULL,-
L5,PLLTEST,-,A,-,-,-
P3,X32KFOUT,-,A,-,-,-
K2,X24MIN,-,A,-,-,-
K1,X24MOUT,-,A,-,-,-
K6,VCC_RTC,-,P,-,-,-
N3,VCC_PLL,-,P,-,-,-
#HDMI
G5,HCEC,-,A,-,-,-
M2,HHPD,-,A,-,-,-
H3,HSCL,-,A,-,-,-
K3,HSDA,-,A,-,-,-
F1,HTX0N,-,A,-,-,-
G1,HTX0P,-,A,-,-,-
G2,HTX1N,-,A,-,-,-
H2,HTX1P,-,A,-,-,-
J2,HTX2N,-,A,-,-,-
J1,HTX2P,-,A,-,-,-
E2,HTXCN,-,A,-,-,-
F2,HTXCP,-,A,-,-,-
J6,HVCC,-,P,-,-,-
M5,HGND,-,G,-,-,-
#USB
B5,USB_DM0,-,A,-,-,-
B7,USB_DM1,-,A,-,-,-
A8,USB_DM2,-,A,-,-,-
B9,USB_DM3,-,A,-,-,-
A5,USB_DP0,-,A,-,-,-
B6,USB_DP1,-,A,-,-,-
A7,USB_DP2,-,A,-,-,-
B8,USB_DP3,-,A,-,-,-
G11,VCC_USB,-,P,-,-,-
#AUDIO_CODEC
U3,AGND,-,G,-,-,-
V3,AVCC,-,P,-,-,-
V1,LINEINL,-,A,-,-,-
W1,LINEINR,-,A,-,-,-
AA3,LINEOUTL,-,A,-,-,-
Y3,LINEOUTR,-,A,-,-,-
W3,MBIAS,-,A,-,-,-
Y1,MICIN1N,-,A,-,-,-
W2,MICIN1P,-,A,-,-,-
AA2,MICIN2N,-,A,-,-,-
Y2,MICIN2P,-,A,-,-,-
Y4,VRA1,-,A,-,-,-
W5,VRA2,-,A,-,-,-
V4,VRP,-,A,-,-,-
#EPHY
A2,EPHY_LINK_LED,-,A,-,-,-
F6,EPHY_RTX,-,A,-,-,-
A4,EPHY_RXN,-,A,-,-,-
B4,EPHY_RXP,-,A,-,-,-
F7,EPHY_SPD_LED,-,A,-,-,-
A3,EPHY_TXN,-,A,-,-,-
B3,EPHY_TXP,-,A,-,-,-
G7,EPHY_VCC,-,P,-,-,-
F8,EPHY_VDD,-,P,-,-,-
#JTAG
A1,JTAG-SEL0,-,I,-,Pull-Up,-
B2,JTAG-SEL1,-,I,-,Pull-Up,-
#ADC
AA5,KEYADC,-,A,-,-,-
#TV
H8,GND_TV,-,G,-,-,-
F10,TVOUT,-,A,-,-,-
G9,V33_TV,-,P,-,-,-
#RTC
M4,RTC_VIO,-,P,-,-,-
V5,X32KIN,-,A,-,-,-
U4,X32KOUT,-,A,-,-,-
#CPU
T10,VDD-CPUFB,-,I/O,-,-,-
T9,GND-CPUFB,-,G,-,-,-
#Power
H11,VDD_EFUSEEBP,-,P,-,-,-
G10,VDD_EFUSE,-,P,-,-,-
N8,P6,P7,P8,P9,R6,R7,R8,T6,T7,T8,U6,U9,VDD_CPUX,-,P,-,-,-
J7,J8,VDD_CPUS,-,P,-,-,-
H10,J10,J11,J12,K10,K11,K12,L10,L11,L12,L13,L14,VDD-SYS,-,P,-,-,-
A21,AA1,G8,H12,H15,J13,J16,J9,K13,K14,K15,K16,K7,K8,K9,L15,L8,L9,M10,M11,M12,M13,M14,M15,M7,M8,M9,N10,N11,N12,N13,N14,N15,N7,N9,P10,P11,P12,P13,P14,P15,R10,R11,R12,R13,R14,R9,T11,GND,-,G,-,-,-
#Other
K4,NC,-,-,-,-,-
